n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
1,ONE,0,0,1,0,L,F,1,C,1,1,false,0
2,P,1,1,-1,1,L,F,2,C,-1,0,false,0
3,P,1,1,-1,2,M,F,3,S,-1,-1,false,0
4,M,1,2,1,2,L,S,3,C,0,-1,true,1
5,P,1,1,-1,3,M,F,4,C,-1,-2,false,1
6,M,2,2,1,3,L,F,5,C,1,-1,true,2
7,P,1,1,-1,4,M,F,6,S,-1,-2,false,2
8,M,1,3,-1,4,M,S,6,S,0,-2,false,2
9,M,1,2,1,4,M,S,6,C,0,-2,true,3
10,M,2,2,1,4,L,F,7,C,1,-1,true,4
11,P,1,1,-1,5,M,F,8,S,-1,-2,false,4
12,M,2,3,-1,5,L,S,8,C,0,-2,false,4
13,P,1,1,-1,6,M,F,9,C,-1,-3,false,4
14,M,2,2,1,6,M,F,10,C,1,-2,true,5
15,M,2,2,1,6,M,F,11,S,1,-1,true,6
16,M,1,4,1,6,L,S,11,C,0,-1,false,6
17,P,1,1,-1,7,M,F,12,S,-1,-2,false,6
18,M,2,3,-1,7,L,S,12,C,0,-2,false,6
19,P,1,1,-1,8,M,F,13,S,-1,-3,false,6
20,M,2,3,-1,8,M,S,13,C,0,-3,false,6
21,M,2,2,1,8,M,F,14,C,1,-2,true,7
22,M,2,2,1,8,L,F,15,C,1,-1,true,8
23,P,1,1,-1,9,M,F,16,S,-1,-2,false,8
24,M,2,4,1,9,M,S,16,S,0,-2,false,8
25,M,1,2,1,9,M,S,16,C,0,-2,true,9
26,M,2,2,1,9,M,F,17,S,1,-1,true,10
27,M,1,3,-1,9,M,S,17,S,0,-1,false,10
28,M,2,3,-1,9,L,S,17,C,0,-1,false,10
29,P,1,1,-1,10,M,F,18,C,-1,-2,false,10
30,M,3,3,-1,10,L,F,19,C,-1,-3,false,10
31,P,1,1,-1,11,M,F,20,S,-1,-4,false,10
32,M,1,5,-1,11,M,S,20,C,0,-4,false,10
33,M,2,2,1,11,M,F,21,C,1,-3,true,11
34,M,2,2,1,11,M,F,22,C,1,-2,true,12
35,M,2,2,1,11,M,F,23,S,1,-1,true,13
36,M,2,4,1,11,L,S,23,C,0,-1,false,13
37,P,1,1,-1,12,M,F,24,C,-1,-2,false,13
38,M,2,2,1,12,M,F,25,C,1,-1,true,14
39,M,2,2,1,12,M,F,26,S,1,0,true,15
40,M,2,4,1,12,L,S,26,C,0,0,false,15
41,P,1,1,-1,13,M,F,27,C,-1,-1,false,15
42,M,3,3,-1,13,L,F,28,C,-1,-2,false,15
43,P,1,1,-1,14,M,F,29,S,-1,-3,false,15
44,M,2,3,-1,14,M,S,29,S,0,-3,false,15
45,M,2,3,-1,14,M,S,29,C,0,-3,false,15
46,M,2,2,1,14,L,F,30,C,1,-2,true,16
47,P,1,1,-1,15,M,F,31,S,-1,-3,false,16
48,M,2,5,-1,15,M,S,31,S,0,-3,false,16
49,M,1,2,1,15,M,S,31,S,0,-3,true,17
50,M,2,3,-1,15,M,S,31,C,0,-3,false,17
51,M,2,2,1,15,M,F,32,S,1,-2,true,18
52,M,2,3,-1,15,L,S,32,C,0,-2,false,18
53,P,1,1,-1,16,M,F,33,S,-1,-3,false,18
54,M,2,4,1,16,M,S,33,C,0,-3,false,18
55,M,2,2,1,16,M,F,34,S,1,-2,true,19
56,M,2,4,1,16,M,S,34,C,0,-2,false,19
57,M,2,2,1,16,M,F,35,C,1,-1,true,20
58,M,2,2,1,16,L,F,36,C,1,0,true,21
59,P,1,1,-1,17,M,F,37,S,-1,-1,false,21
60,M,3,4,1,17,L,S,37,C,0,-1,false,21
61,P,1,1,-1,18,M,F,38,C,-1,-2,false,21
62,M,2,2,1,18,M,F,39,S,1,-1,true,22
63,M,2,3,-1,18,M,S,39,S,0,-1,false,22
64,M,1,6,1,18,M,S,39,C,0,-1,false,22
65,M,2,2,1,18,M,F,40,C,1,0,true,23
66,M,3,3,-1,18,L,F,41,C,-1,-1,false,23
67,P,1,1,-1,19,M,F,42,S,-1,-2,false,23
68,M,2,3,-1,19,M,S,42,C,0,-2,false,23
69,M,2,2,1,19,M,F,43,C,1,-1,true,24
70,M,3,3,-1,19,L,F,44,C,-1,-2,false,24
71,P,1,1,-1,20,M,F,45,S,-1,-3,false,24
72,M,2,5,-1,20,L,S,45,C,0,-3,false,24
73,P,1,1,-1,21,M,F,46,C,-1,-4,false,24
74,M,2,2,1,21,M,F,47,S,1,-3,true,25
75,M,2,3,-1,21,M,S,47,S,0,-3,false,25
76,M,2,3,-1,21,M,S,47,C,0,-3,false,25
77,M,2,2,1,21,M,F,48,C,1,-2,true,26
78,M,3,3,-1,21,L,F,49,C,-1,-3,false,26
79,P,1,1,-1,22,M,F,50,S,-1,-4,false,26
80,M,2,5,-1,22,M,S,50,S,0,-4,false,26
81,M,1,4,1,22,M,S,50,C,0,-4,false,26
82,M,2,2,1,22,L,F,51,C,1,-3,true,27
83,P,1,1,-1,23,M,F,52,S,-1,-4,false,27
84,M,3,4,1,23,M,S,52,C,0,-4,false,27
85,M,2,2,1,23,M,F,53,C,1,-3,true,28
86,M,2,2,1,23,M,F,54,C,1,-2,true,29
87,M,2,2,1,23,M,F,55,S,1,-1,true,30
88,M,2,4,1,23,L,S,55,C,0,-1,false,30
89,P,1,1,-1,24,M,F,56,S,-1,-2,false,30
90,M,3,4,1,24,M,S,56,C,0,-2,false,30
91,M,2,2,1,24,M,F,57,S,1,-1,true,31
92,M,2,3,-1,24,M,S,57,C,0,-1,false,31
93,M,2,2,1,24,M,F,58,C,1,0,true,32
94,M,2,2,1,24,M,F,59,C,1,1,true,33
95,M,2,2,1,24,M,F,60,S,1,2,true,34
96,M,2,6,1,24,L,S,60,C,0,2,false,34
97,P,1,1,-1,25,M,F,61,S,-1,1,false,34
98,M,2,3,-1,25,M,S,61,S,0,1,false,34
99,M,2,3,-1,25,M,S,61,S,0,1,false,34
100,M,2,4,1,25,L,S,61,C,0,1,false,34
101,P,1,1,-1,26,M,F,62,C,-1,0,false,34
102,M,3,3,-1,26,L,F,63,C,-1,-1,false,34
103,P,1,1,-1,27,M,F,64,S,-1,-2,false,34
104,M,2,4,1,27,M,S,64,C,0,-2,false,34
105,M,3,3,-1,27,M,F,65,C,-1,-3,false,34
106,M,2,2,1,27,L,F,66,C,1,-2,true,35
107,P,1,1,-1,28,M,F,67,S,-1,-3,false,35
108,M,2,5,-1,28,L,S,67,C,0,-3,false,35
109,P,1,1,-1,29,M,F,68,C,-1,-4,false,35
110,M,3,3,-1,29,M,F,69,C,-1,-5,false,35
111,M,2,2,1,29,M,F,70,S,1,-4,true,36
112,M,2,5,-1,29,L,S,70,C,0,-4,false,36
113,P,1,1,-1,30,M,F,71,C,-1,-5,false,36
114,M,3,3,-1,30,M,F,72,C,-1,-6,false,36
115,M,2,2,1,30,M,F,73,S,1,-5,true,37
116,M,2,3,-1,30,M,S,73,S,0,-5,false,37
117,M,2,3,-1,30,M,S,73,C,0,-5,false,37
118,M,2,2,1,30,M,F,74,C,1,-4,true,38
119,M,2,2,1,30,M,F,75,S,1,-3,true,39
120,M,3,5,-1,30,M,S,75,S,0,-3,false,39
121,M,1,2,1,30,M,S,75,C,0,-3,true,40
122,M,2,2,1,30,M,F,76,C,1,-2,true,41
123,M,2,2,1,30,M,F,77,S,1,-1,true,42
124,M,2,3,-1,30,M,S,77,S,0,-1,false,42
125,M,1,3,-1,30,M,S,77,S,0,-1,false,42
126,M,3,4,1,30,L,S,77,C,0,-1,false,42
127,P,1,1,-1,31,M,F,78,S,-1,-2,false,42
128,M,1,7,-1,31,M,S,78,C,0,-2,false,42
129,M,2,2,1,31,M,F,79,C,1,-1,true,43
130,M,3,3,-1,31,L,F,80,C,-1,-2,false,43
131,P,1,1,-1,32,M,F,81,S,-1,-3,false,43
132,M,3,4,1,32,M,S,81,C,0,-3,false,43
133,M,2,2,1,32,M,F,82,C,1,-2,true,44
134,M,2,2,1,32,M,F,83,S,1,-1,true,45
135,M,2,4,1,32,M,S,83,S,0,-1,false,45
136,M,2,4,1,32,L,S,83,C,0,-1,false,45
137,P,1,1,-1,33,M,F,84,C,-1,-2,false,45
138,M,3,3,-1,33,L,F,85,C,-1,-3,false,45
139,P,1,1,-1,34,M,F,86,S,-1,-4,false,45
140,M,3,4,1,34,M,S,86,C,0,-4,false,45
141,M,2,2,1,34,M,F,87,C,1,-3,true,46
142,M,2,2,1,34,M,F,88,C,1,-2,true,47
143,M,2,2,1,34,M,F,89,S,1,-1,true,48
144,M,2,6,1,34,M,S,89,C,0,-1,false,48
145,M,2,2,1,34,M,F,90,C,1,0,true,49
146,M,2,2,1,34,M,F,91,S,1,1,true,50
147,M,2,3,-1,34,M,S,91,S,0,1,false,50
148,M,2,3,-1,34,L,S,91,C,0,1,false,50
149,P,1,1,-1,35,M,F,92,S,-1,0,false,50
